duygu;veri
Olumlu;Gelir gelmez denedim kek yaptım mikser tutmadan yumurta kopurene kadar başında beklemeden o çırparken ben mutfakta başka işimi hallettim çok kolaylık ve rengiyle görünümüyle çok tatlı duruyor tavsiye ederim
Olumlu;Sipariş verirken çekimserdim ancak gayet özenli paketlenmiş ve güzel çalışıyor çeyizimde yerini aldı.
Olumsuz;hemen iade ettim cok kalitesiz gelen bildirimleri gostermiyor
Olumlu;göründündüğünden daha da güzel
Olumsuz;2 ay Kullandım . temizleyici ama soyucu değil
Olumsuz;Bence QLED
Olumlu;Zaten bildiğim bir üründü gayet güzel ve memnunum
Olumlu;Ürün istediğim gibi. Başlığı biraz zor oturuyor. Üründe bir sorun yok.
Olumlu;Hem fiyatı hem ürün oldukça iyi
Olumlu;Olumlu yönleri: Ürün gayet kaliteli
Olumlu;Ürün güzel kargo çok hızlı amazzon kalitesi gene kendisini gösterdi 1 yıldız kırma sebebim  demlik için plastik kapak çok sert açılıyor. Oda zamanla düzeleceğine inanıyorum.
Olumlu;Sorunsuz geldi.
Olumlu;her evin ihtiyacı olan çaycıyı sevdiğiniz insanlara ev hediyesi olarak alabilirsiniz gerçekten çok memnun kalacaklardır. hayatı kolaylaştıran çaycıyı tavsiye edilir:)
Olumsuz;su sızdırıyor tavsiye etmem
Olumlu;On numara bir bir ürün hızlı Kargo 5 kişilik bir aile için idealdir hepsi buradana teşekkür ederim
Olumlu;Rowenta süpürgeyi sakın almayın.Önce güzel çekiyor sonra çekim gücü azaldığı gibi çok şiddetli ıslık sesi çıkarıyor.Verdiğiniz paraya yazık.çooook pişmanım.
Olumlu;Göründüğü gibi kaliteli bir ürün
Olumsuz;Çok kötü kullanılmış yağ icinde
Olumlu;Hızlı kargo. Çekim gücü çok güzel. Umarım ilerleyen zamanlarda gücü düşmez
Olumlu;KARGO ÇOK HIZLI ÜTÜ FİYATINA GÖRE ALINABİLECEK EN İYİ ÜTÜ HEPSİ BURADA COMA TEŞEKKÜRLER
Olumlu;Bir süredir takip ediyordum. Bu fiyata çok iyi..
Olumlu;Ürün gayet iyi ısıtıyor. Fiyatına göre gayet iyi. Tavsiye ederim.
Olumsuz;Ürün defolu değişimi veya iadesi istiyorum
Olumsuz;Ben aldım çok pişmanım.Emiş gücü çok düşük.tavsiye etmem.Pişman olursunuz..
Olumsuz;Olumsuz yönleri: Kardeşim nerelere teslimat yapıyorsunuz belli değil? Adres seçiyoruz teslimat yok? Birde Olumsuz yorum yaptırmıyorsunuz.
Olumlu;hızlı teslimat güzel ürün teşekkürler
Olumlu;biraz ağır ama çok güzel
Olumsuz;Ürün  teslim alındığı gün çalışmadı servise bıraktım.halen serviste
Olumlu;Olumlu yönleri: kablosunun uzunluğu koca odayı köşe bucak temizlemenizi sağlıyor. Çok kolay içini temizleyebiliyorsunuz. Ben önce anneme almıştım. Sonra atölyem için kendime aldım. ikimiz de çok memnunuz. Hiç düşünmeden alın derim
Olumsuz;düşük kalitede üretilmiş ve basit tasarlanmış okadar kötüsü yoktur herhalde...
Olumsuz;boyutu güzel hafızası az android sürümü düşük
Olumlu;Güzel bir  ürün
Olumlu;kaliteli tavsiye ederim biraz sesli çalışıyor
Olumsuz;bu ekranı iki kez satın aldım. ilk ekranda iki adet ölü piksel vardı .bunu iade ettim yenisini sipariş ettim dün elime ulaştı. ikinci gelen monitörde de bir adet ölü piksel var ama daha da kötüsü ekran paneli dokunduğunuz an oynuyor ve ses çıkarıyor boşluğundan dolayı. şüphelendim arkasındaki vidaları kontrol ettim bir vida işlem görmüş bariz bir şekilde. ikinci gelen bu ekran beni ciddi derecede rahatsız etti ekran siyahken oluşan bulutlanma inanılmaz itici. şimdi bu ekranı da iade edeceğim ve stokta son kalan aynı ürünü sipariş edeceğim. bakalım amazzondan 3. kez aldığım ürün TEMİZ SIFIR VE SIKINTISIZ çıkacak mı???  zaten yapacağım yorumla sizlerde buna şahit olacaksınız...
Olumsuz;özensiz paketlenmiş çırpıcı ucu çizik geldi
Olumlu;Urun harika. Elime cok cabuk ulasti. Herkese tavsiye ederim.
Olumlu;ürün anlatıldığı gibi inşallah uzun yıllar sorunsuz kullanırız.
Olumsuz;Ürün çok kötü heryerinden hava çıkıyor.N11 den aldıgım en kötü üründü
Olumlu;İyi ki almışım dediğim bir ürün oldu . Kalitesi ısınması şahane
Olumsuz;1 yıldır bende sorunlu bir disk seagate almayın.
Olumlu;Çok iyi bir ürün çaylar çok lezzetli oluyor.kendi kendini kPama özelliğine bayıldım.
Olumsuz;Cihaz şık ve güzel ancak 4. Kullanışta bozuldu... şimdi servis arayacağım bu karantina günlerinde... arzum ben gelip evden alırım diyor ama 59 lira para istiyor.
Olumsuz;Ürün işimi görüyor fakat neden fazla ücret alınıp ucuz fiyatlı ürün gönderildi
Olumsuz;ürün göründüğü gibi
Olumsuz;Diğer kulaklık lar gibi kısa zaman içerisinde jak giriş yerinden bozuldu spor kulaklığı almaya karar verdim
Olumlu;Beyaz askılık aldım bir hafta içinde geldim inşallah diğer urunlerimde sağlam bi şekilde gelir teşekkürler Evidea...
Olumsuz;Kisacası memmun değilim
Olumlu;Kargo hızlı şekilde elime ulaştı çayı sıcak tutma ayarı sayesinde suyu sogutmuyor kesinlikle tavsiye ederim
Olumlu;Olumlu yönleri: İlgi alaka mükemmelz ürün çok guzel
Olumlu;Olumlu yönleri: Çok güzel  tşk  philips  temizligim içime  sindi
Olumsuz;berbat bune 30 dk'da mic bozuldu.kablolar ipince bence daha kaliteli ürünleri alın.
Olumlu;Olumlu yönleri: Supurge cok guzel Turbo Brush baslik sayesinde halidan baya toz cikardi.Sesi cok az ikizlerim korkmadi.Bugune kadar kullandigimiz supurgelerden gayet basarili bir urun.Alacak olanlara tavsiye ederim.Esim supurgeyi begendi.
Olumsuz;Olumsuz yönleri: Kısa programda yıkama yaptığımda Plastik kokusu var ve makinanın etrafı çok ısınıyor korkutucu rahatsız edici kısa programı kullanmıyorum İçi daima ıslak hiç kurumuyor
Olumlu;Yorumlara bakarak sipariş verdim 3 aydır sorunsuz kullanıyorum tavsiye ederim banyoya kadar getirdiler ertesi gün servis gelip kurulumunu yaptı.
Olumlu;Fiyatına göre çok güzel bir süpürge.
Olumlu;Ürün anlatıldığı gibi güzel kötü yorum yapanlara aldırış etmeyin
Olumsuz;Bu paraya alınacak bi klavye değil kesinlikle tavsiye etmiyorum
Olumsuz;Ben çok önceden aldım bu ürünü ve tavsiyem bundan uzak durun. Tasarım olarak sanki içine meyve suyu girsin de bozulsun diye yapılmış. Tüm ek yerlerine meyve artıkları giriyor ve kolay temizlenmiyor. Emniyet kolu da oldukça zor kapanıyor. Bazen öğütücü kısmı çıkarmak için zorlanıyorum.
Olumsuz;kapattığı doğru ama sivilce şişliğini ve kızarıklığını gidermiyor. çok şey beklemeyin derim idare eder o kadar. buna göre alın derim
Olumlu;Ürünün hızlı gelmesi muhteşem....kendisi 'de öyle tavsiyeediyorum
Olumsuz;kesim bıçakları çok kötü ayrıca ayarlabilir uçlar en fazla 4 numaraya kadar kesebiliyor. 2-3 numarada olsa çok daha iyi olurdu almanızı kesinlikle tavsiye etmiyorum. ben ürünü aldım ama keşke almasaydım.
Olumlu;Sıkıntısız ürün  fiyatına göre çok iyi
Olumsuz;Kesinlikle tavsiye etmem üst kısım demlik çay katarken akıtıyor hiç kullanışlı değil
Olumlu;güzel sorunsuz geldi
Olumsuz;TURKCELL WINN USB CİHAZLARI DESTEKLEMİYOR
Olumlu;Cok cok guzel
Olumsuz;ürün teslim edilmedi.
Olumlu;fena değil
Olumsuz;kumandası bozuk geldi gerçekten hayal kırıklığı
Olumlu;Kaliteli ve Minik
Olumlu;Shake hazırlamak için çok pratik. Kaliteli bir ürün
Olumlu;2.5 yıldır sorunsuz kullanıyorum. geçtiğimiz ay apple yetkili servisinde bataryasını değiştirdikten sonra pil ömrüde ilk haline geri döndü. hala gayet hızlı ve işimi fazlasıyla görüyor.
Olumsuz;Nitron condense yi aldım beş  gun oldu bugün 3 defa F4 arızası verdi resed 'ledim ama kafamda soru işareti bıraktı.
Olumsuz;Markaya güvenip aldım ama işçilik kötü. Kol kısmını dandik yapmışlar 3 4 ay sonra kırıldı. Isıtma sistemi de 8 9 ay sonra bozuldu.
Olumlu;cok güzel ve kullanışlı bir ürün
Olumsuz;Hayir çalışmıyor
Olumsuz;Ürünün hortumu felan cıkmadı ve bir haftada elime ulaştı
Olumlu;beklediğimden daha fazlası 112 den daha hızlı çalışıyorlar süper kargo tşkler
Olumlu;MARKA MALUM MAĞAZA DA GÜVENİLİR VE HIZLI
Olumlu;Kullanışlı
Olumsuz;Spybox s10 aldım 2 günnsonra sinyal yok sorunu verdi iade ettim. Çöp elinizde patlar
Olumsuz;ürünün garantisinden nasıl yararlanabilirim diye ararken bir de yorum bırakayım dedim. ürünü aldığımdan beri mikrofonu çalışmıyor. acil ihtiyacım olduğu için bir süre kullandım. kulaklık kısımları sert plastik ve bir süre sonra ağrıtıyor. bir yıldız tasarımı ve yanında gelen kılıfı için.
Olumsuz;waillant  kombim 1 ay geçmeden F5 arıza verdi. Telefonla baca sıkıntısı olduğu söylendi. Bacayı söktüğümde içinin su dolu olduğunu gördüm. yoguşma borusunun içini parmağımla oynatınca su boşaldı bir daha f5 sıkıntısı olmadı ama bu defa f4 verdi yetersiz gaz arızası verdi.  servis geldi gaz firmasına topu attı gaz firması geldi ölçtü her şey normal.yeniden servisi aradım ber çalışma yaptılar  bu defa f4 vermiyor ama kombi içinden su kaçağı var 3 kez geldiler. değişim istediğimde servis biz değişim veremeyiz merkez verir diyor. merkez de arıza aynı değil diyor. sonra fişe bir baktım her fişe ayrı arıza yazmışlar. her seferinde farklı yazıp değişimi önlüyorlar.Bu arada bir kaç kez garanti uzatmam için arandım hatta bana garantimi neden uzatmadığım soruldu vel hasıl pişmanım . sessiz diye aldım ama çok sesli yorumlara kanmayın görerek bildiğiniz beğendiğiniz kombi alın vestel de aynını yapıyor. ikisi benim çin bitmiştir. bunlara 1 yıldız bile fazla  ama daha aşağısı yok
Olumlu;Uygun fiyata hb ya teşekkur ederım...Ütü için yorum yapacak olursam tek kelimeyle harika...
Olumlu;çok begendim kibar durusuyla mutfakta tarz yaratiyor kalabalik misafirler icin cok uygun alacaklara tavsiye ederim
Olumlu;çok güzel bir ürün kömür tadında olmasada evde ızgaranın tadına varıyorsunuz. tavsiye ederim
Olumlu;2 adet oldu memnunuz sorunsuz
Olumsuz;gerçekten kullanışsız bir ürün. sırf haznesi cam diye almayın derim.
Olumlu;Bi problem yok.
Olumsuz;Ürünü asla tavsiye etmiyorum.
Olumlu;ürün gayet güzel evet çok sesli ama saç kıllarına varıncaya aldı ??
Olumlu;Ürünüm 1 haftada anca geldi. Yani fiyatına göre güzel ama içi fazla tatmin edici değil çünkü tirtiklari derin değil  ambalajı güzeldi kontrol ettim çalışıyor umarim uzunca bir süre kullanabilirim...Yani sinbo güzel fiyatına göre gayet iyi görünüyor tavsiye ederim
Olumlu;çok güzel
Olumsuz;Urunu pek kullanici dostu bulmadim. Daha uygun fiyata cok daha iyi urunler var piyasada. Samsung cok severek kullandigim bir marka ama hayal kirikligi yaratti.
Olumlu;Ürünü çok uygun fiyata aldım ve çok memnunum herkese tavsiye ederim
Olumsuz;Fena degil kotu paketlenenip elime ulastigi icin biraz kizginim tabiki ozensiz
Olumlu;gayet yeterli bir ürün çok beğendim. çok çabuk ısınıyor temizliği de kolay tavsiye ederim.
Olumsuz;paranız cebınızde kalsın daha iyi
Olumlu;????çok begendim gorundugunden daha da cici??
Olumsuz;almayın cokkk cızırtı yapıyor . 1 yıldız
Olumsuz;makineyi açınca sizde de ses geliyor mu?
Olumsuz;Resimdeki ürün ile alakası yok. Evet Samsung kulaklığı ama resimdeki değil. Ayrıca kablosunda ezik ve kırılmalar var.
Olumlu;Çok kullanışlı ve çok güzel yapıyor tahmin ettiğimdende çok daha iyi teşekkürler ??
Olumlu;Zamaninda ürünü getirdiler montaj ücretsiz olarak servis tarafından yapildı şimdilik bir problem yok teşekkürler
Olumlu;Şimdilik sorun yok. Kullanışlı. Dış yüzey çok ısınıyor.
Olumsuz;Hepsi buradanın güvenlirliğine inanıp abimlere aldım tepsiler küçük çıktı dışında ezik olarak geldi abimlere kepaze oldum anlıycanız iadeye yolladım sonucunu bekliyorum..
Olumlu;çok kullanışlı küçük harika bi makina ??
Olumsuz;Ürün çok kalitesiz bir çakma. Emitasyon olup kaliteli olsa yine neyse diyecektim ama ses boğuk geliyor ve malzeme kalitesi 10 liralık bile değil. Şunu AKG görse yapanı da satanı da yaşatmaz.
Olumsuz;daha açmadım ama güzeldir bnce
Olumlu;çok şık bir ürün
Olumlu;Gayet guzel bir ürün cok pratik.
Olumsuz;burdaki yorumları okuyarak aldım. eşimin 3. denemesinde alet çalışmaz oldu. şimdi servise gönder gelmesini bekle. nenelerimizden kalan ve hala tıkır tıkır çalışan bir marka var singer diye..  fiyatı 2 katı ama keşke ondan alsaymışım.
Olumsuz;Fiyat iyi Ben siyah istedim beyaz geldi bu ne saçmalık
Olumlu;fiyat performans olarak çok iyi telefon.
Olumsuz;Henüz kullanamadıkki
Olumsuz;cihaz isiniyor tekrar soguyor yumurtayı bile yarim saatte pisirmiyor
Olumlu;ürun cok iyi. fiyatina bakmayin tereddutsuz alin. fazla para vermeue gerek yok kardesim hem şık hem saglam
Olumlu;Ürünün teslimi konusunda Hepsiburadaya teşekkür ederim.Çok hızlı bir şekilde elime ulaştı.
Olumlu;güzel bir ürün. oldukça hızlı ulaştı elime.
Olumsuz;23 Mayıs ta sipariş ettim 24 mayısta kargoda demesine rağmen 25 Mayıs oldu hala kargoya vermedi hiç önermeyeceğim bir firma
Olumsuz;ürünü alamadim bile
Olumlu;Başarılı bir elektrik süpürgesi. Alacaklar pahalı markalar ile kafasını karıştırmasın.
Olumlu;Olumlu yönleri: Performansı yuksek bir ürün
Olumlu;Ürünün kutusu yırtıktı sanki önceden açılmış gibiydi.
Olumsuz;OLDUKÇA KÖTÜ HER TARAFI PLASTİK HİÇ BİR İŞE YARAMAYAN BİR ALET
Olumlu;Ürünü kullandık çok güzel
Olumsuz;Çok rahatsız ediyor hiç güzel sesi Yok
Olumsuz;İndesit çamaşır makinası ne kendisini  nede Antalya servisi ni kesinlikle önermiyorum.Biz yandık siz yanmayın.
Olumlu;ÜRÜNÜN FİYATI UYGUN VE IYI MARKA PAKETLEME KÖTÜ TEŞEKKÜRLER TRENDYOL
Olumlu;Olumlu yönleri: Piyasaya göre fiyatı düşük baya en başta kaygılandım hatta bir iki gün bekledim sonra aldım ve iyi ki almışım gayet iyi
Olumlu;Süper kampanyalar var
Olumsuz;Sakın almayın 5 kez üzerinde yemek ısıttım rezistans teli koptu parçaladım çöpe attım paranıza yazık olur sakın almayın !
Olumlu;tatminkar
Olumsuz;Yaklaşık 4 ay önce anneme aldık genişliği guzel ama içi çok kotu kokuyor. Servis cagırdık kokusu zamanla gecer dedi ama 4 ay oldu hala aynı içine koyduğumuz seylere koku siniyor yenilemeyecek derecede kokuyor..Servis teknik hata olması gerektiğini soyledi ama uretimle ilgili hata var. Çok pişman olduk...
Olumsuz;Verilen paraya yazık aldığım günden beri e18 arızası veriyor sakın ha sakın eve sokmayın. Artık servisler evin bir bireyi gibi her zaman arızaya gelip sohbetleri geliştiriyoruz hep beraber dua ediyoruz bi daha bozulmasın diye... Yazıklar olsun
Olumsuz;hiç beğenmedim çok kötü bı ürün ışığı yanıyor su buz gibi keşke almasaydim
Olumlu;Ürünü beğendim.Ama media markın ürünü kargoya verdiğinden haberi yok.Ürünü teslim aldım sonra mesaj geldi.Ürününüz kargoya verilmiştir diye
Olumsuz;Hicbirşeyini beğenmedim  kullanımı çok zor hatta ben evde olmayınca  hanım tek başına kullanamiyor pişman oldum. Aynı anda  iki tarafta çalisiyor  tırnakları inanılmaz zor
Olumsuz;makina sıkıntı li geldi başlık lar birbirine uyuşmuyor o yüzden beğen medim
Olumsuz;hayır ürün kırık olarak geldi
Olumlu;cok guzel bir ürün fiyatida gayet uygun şiddetle tavsiye ederm??
Olumsuz;Ordan burdan çıkan ürünü gelişi güzel kutulayıp göndermişler
Olumlu;İşyerleri için birebir ve ideal hem ucuz hem saglam bir ürün ayrıca çok hızlı ve pratik bir ürün çayi da gayet güzel oluyor ben is yerim için aldım ve kullanıyorum gayet memnunum markasindan dolayi basta tereddüt etmistim ama ürün geyet güzel çıktı tavsiye ederim ...
Olumlu;benim çok memnun kaldığım makine çekim gücü de çok iyi tavsiye ederim.
Olumsuz;Termostat erken çıkardığı için tost yapması bile 20 dakikayı buluyor çare olarak termostadı devre dışı boraktım
Olumsuz;Ürün yok ki gelmedi ve görmedik neyi beğenelim
Olumsuz;Saat adımları doğru saymıyor sadece yapması gereken adım saymak
Olumsuz;ALT SUYUNU KENDİNİZ KAYNAT TUŞUNA BASMADAN KAYNAR HALDE TUTMUYOR. ÇAYI ÇOK LEZZETLİ GELMEDİ. İŞ YERİMİZ İÇİN ALDIK AMA MEMNUN KALMADIK
Olumlu;Çok güzel
Olumlu;harikaaa bir urun ve çok kullanişli rengide aynisi geldi ??????
Olumlu;Gerçekten cok güzel
Olumsuz;urun guzel ama ici ufak geldi bana
Olumlu;İndirimdeyken aldım çok kaliteli bir ürün
Olumsuz;Ürünü beğendim ama teslimatı beğenmedim
Olumlu;Mutlaka almalısınız
Olumlu;Kek ve poğaça yaptım güzel pişirdi. Tavsiye ederim.
Olumsuz;Gaz ayar vidası ulaşılmaz bir yerde. Tek yıldızdan fazlasını haketmiyor. Gaz ayar vidasını yarım tur çevirmek için teknik servis çağırmak gerekiyor. Simfer mühendislikte eksilerde
Olumlu;Ürün fiyatına göre iyi bir ürün dikkatli kullanılırsa çabuk bozulmaz
Olumsuz;Evin içine sokulacak cihaz değil aşırı gürültülü aynı fiyata daha sessiz ve kaliteli kombiler var adına aldanmayın benim gibi pişman olursunuz.
Olumlu;Uzun araştırmalar sonucu aldım çok şükür 7 ay oldu hiç bir sıkıntısı olmadı gayet muntazam çalışıyor özellikleri de yeterli . Yetkili satıcı da bu konuda ehil. Araştırabilirsiniz sizde en uygun ürün olduğuna karar verip alacaksınız . Birçok adı olan markanın verdiği problemleri ve servis problemleri biliyorum ve iyiki bu ürünü almışım diyorum
Olumsuz;Ürünü Haziran 2016 aldım. Kısa sürede Ürünün panelinde gölgelenme meydana geldi. Bu ürünün kronik hatasıymış bir kaç web sitesinde de belirtiyor. Alırken dikkatli olmalısınız.
Olumsuz;aparatlar bırbırıne yeterınce ıyı oturmuyor hatta sureklı cıkıyor onun dısında ıdarelık olarak kullanılabılır ama kalıtelı deıl cok sey beklemeyın
Olumlu;Sessiz ekonomik güzel kaliteli bir ürün
Olumsuz;1408 ÇOK GÜZEL KULLANIŞLI TAVSİYE EDERİM
